customerid,recency,frequency,monetary,cluster,segment
12421,15,5,807,0,Low Value Customers
12422,95,3,803,0,Low Value Customers
12423,0,9,1869,0,Low Value Customers
12424,162,2,1760,1,Lost Customers
12425,77,1,777,0,Low Value Customers
12426,194,1,582,1,Lost Customers
12427,11,5,943,0,Low Value Customers
12428,25,12,8035,0,Low Value Customers
12429,8,4,3750,0,Low Value Customers
12430,42,1,256,0,Low Value Customers
12431,35,18,6491,0,Low Value Customers
12432,42,5,5059,0,Low Value Customers
12433,0,7,13375,0,Low Value Customers
12434,84,4,847,0,Low Value Customers
12435,79,2,7829,0,Low Value Customers
12436,99,1,509,0,Low Value Customers
12437,1,19,5006,0,Low Value Customers
12438,13,2,2906,0,Low Value Customers
12441,366,1,173,1,Lost Customers
12442,2,1,172,0,Low Value Customers
12444,20,5,5005,0,Low Value Customers
12445,21,1,133,0,Low Value Customers
12446,57,1,1002,0,Low Value Customers
12447,242,1,476,1,Lost Customers
12448,43,1,449,0,Low Value Customers
12449,21,4,4067,0,Low Value Customers
12450,155,2,197,1,Lost Customers
12451,10,6,9137,0,Low Value Customers
12452,16,3,432,0,Low Value Customers
12453,133,1,707,0,Low Value Customers
12454,52,2,7056,0,Low Value Customers
12455,72,6,2466,0,Low Value Customers
12456,43,4,3208,0,Low Value Customers
12457,57,12,2808,0,Low Value Customers
12458,70,2,947,0,Low Value Customers
12461,93,2,826,0,Low Value Customers
12462,1,4,1255,0,Low Value Customers
12463,45,7,1385,0,Low Value Customers
12464,9,8,1212,0,Low Value Customers
12465,7,3,750,0,Low Value Customers
12468,142,3,735,1,Lost Customers
12471,1,49,20871,0,Low Value Customers
12472,30,13,6914,0,Low Value Customers
12473,28,9,5018,0,Low Value Customers
12474,16,30,7583,0,Low Value Customers
12475,53,1,723,0,Low Value Customers
12476,0,20,7086,0,Low Value Customers
12477,22,9,13322,0,Low Value Customers
12478,3,1,680,0,Low Value Customers
12479,3,3,577,0,Low Value Customers
12480,27,4,3281,0,Low Value Customers
12481,22,11,5585,0,Low Value Customers
12483,16,13,2642,0,Low Value Customers
12484,32,8,4573,0,Low Value Customers
12488,9,3,1298,0,Low Value Customers
12489,335,1,334,1,Lost Customers
12490,4,10,5417,0,Low Value Customers
12491,38,1,460,0,Low Value Customers
12492,62,2,263,0,Low Value Customers
12493,165,3,450,1,Lost Customers
12494,9,13,1352,0,Low Value Customers
12497,81,1,1043,0,Low Value Customers
12498,20,3,403,0,Low Value Customers
12500,22,13,4309,0,Low Value Customers
12501,314,2,2249,1,Lost Customers
12502,95,5,3723,0,Low Value Customers
12503,337,1,1126,1,Lost Customers
12504,17,4,850,0,Low Value Customers
12505,300,1,4,1,Lost Customers
12506,232,1,73,1,Lost Customers
12507,133,4,1351,0,Low Value Customers
12508,25,2,397,0,Low Value Customers
12509,283,1,176,1,Lost Customers
12510,142,2,982,1,Lost Customers
12512,65,2,132,0,Low Value Customers
12513,84,2,637,0,Low Value Customers
12514,266,1,1017,1,Lost Customers
12515,352,1,383,1,Lost Customers
12516,77,2,1312,0,Low Value Customers
12517,27,6,2519,0,Low Value Customers
12518,0,5,2056,0,Low Value Customers
12519,63,1,330,0,Low Value Customers
12520,78,6,2686,0,Low Value Customers
12521,142,1,599,1,Lost Customers
12522,38,2,192,0,Low Value Customers
12523,1,13,1833,0,Low Value Customers
12524,8,8,4485,0,Low Value Customers
12526,0,3,1316,0,Low Value Customers
12527,81,3,348,0,Low Value Customers
12528,8,8,1944,0,Low Value Customers
12530,59,5,1700,0,Low Value Customers
12531,14,1,125,0,Low Value Customers
12532,29,1,349,0,Low Value Customers
12534,130,1,1089,0,Low Value Customers
12535,91,2,716,0,Low Value Customers
12536,7,5,21096,0,Low Value Customers
12538,28,1,363,0,Low Value Customers
12539,21,5,7284,0,Low Value Customers
12540,19,19,13491,0,Low Value Customers
12541,29,3,981,0,Low Value Customers
12544,29,2,389,0,Low Value Customers
12545,74,2,1000,0,Low Value Customers
12546,46,3,1181,0,Low Value Customers
12547,197,2,207,1,Lost Customers
12548,165,1,95,1,Lost Customers
12550,78,1,964,0,Low Value Customers
12551,357,1,168,1,Lost Customers
12552,38,2,437,0,Low Value Customers
12553,7,14,3732,0,Low Value Customers
12556,49,2,599,0,Low Value Customers
12557,15,5,11990,0,Low Value Customers
12558,1,2,539,0,Low Value Customers
12559,310,3,587,1,Lost Customers
12560,4,4,2166,0,Low Value Customers
12561,302,1,238,1,Lost Customers
12562,7,7,3781,0,Low Value Customers
12564,260,1,456,1,Lost Customers
12565,281,2,160,1,Lost Customers
12566,72,2,356,0,Low Value Customers
12567,22,11,9687,0,Low Value Customers
12569,1,35,4184,0,Low Value Customers
12571,39,2,519,0,Low Value Customers
12572,8,3,1036,0,Low Value Customers
12573,226,1,160,1,Lost Customers
12574,315,1,218,1,Lost Customers
12576,35,6,1324,0,Low Value Customers
12577,34,4,689,0,Low Value Customers
12578,20,4,2835,0,Low Value Customers
12579,72,3,470,0,Low Value Customers
12580,246,1,415,1,Lost Customers
12581,39,1,197,0,Low Value Customers
12582,238,2,511,1,Lost Customers
12583,2,18,7375,0,Low Value Customers
12584,3,18,2782,0,Low Value Customers
12585,233,4,2097,1,Lost Customers
12586,16,2,213,0,Low Value Customers
12587,7,1,144,0,Low Value Customers
12588,38,1,214,0,Low Value Customers
12589,28,2,646,0,Low Value Customers
12590,189,3,9867,1,Lost Customers
12591,316,1,452,1,Lost Customers
12592,91,2,437,0,Low Value Customers
12593,108,3,418,0,Low Value Customers
12594,37,11,3356,0,Low Value Customers
12596,50,2,618,0,Low Value Customers
12597,18,5,3939,0,Low Value Customers
12598,9,9,3043,0,Low Value Customers
12599,28,7,1032,0,Low Value Customers
12600,28,11,2617,0,Low Value Customers
12601,189,6,584,1,Lost Customers
12602,58,1,153,0,Low Value Customers
12603,21,1,739,0,Low Value Customers
12604,78,2,254,0,Low Value Customers
12605,364,1,7,1,Lost Customers
12607,57,2,3159,0,Low Value Customers
12609,77,3,1126,0,Low Value Customers
12610,22,7,2141,0,Low Value Customers
12611,51,1,1193,0,Low Value Customers
12612,57,2,764,0,Low Value Customers
12613,30,6,3469,0,Low Value Customers
12614,277,1,315,1,Lost Customers
12615,1,4,2291,0,Low Value Customers
12616,84,5,769,0,Low Value Customers
12617,28,1,352,0,Low Value Customers
12618,21,1,177,0,Low Value Customers
12619,15,13,4067,0,Low Value Customers
12620,14,3,1339,0,Low Value Customers
12621,1,23,13767,0,Low Value Customers
12622,231,1,180,1,Lost Customers
12623,275,1,305,1,Lost Customers
12624,105,2,641,0,Low Value Customers
12625,211,3,2753,1,Lost Customers
12626,22,13,6852,0,Low Value Customers
12627,10,7,4478,0,Low Value Customers
12628,3,4,803,0,Low Value Customers
12630,9,2,1270,0,Low Value Customers
12631,56,1,640,0,Low Value Customers
12633,58,5,2187,0,Low Value Customers
12635,89,2,1689,0,Low Value Customers
12637,66,10,6071,0,Low Value Customers
12638,32,1,671,0,Low Value Customers
12639,238,1,486,1,Lost Customers
12640,23,3,1174,0,Low Value Customers
12641,114,1,185,0,Low Value Customers
12642,24,3,1013,0,Low Value Customers
12643,127,6,3344,0,Low Value Customers
12644,129,1,477,0,Low Value Customers
12645,33,5,1794,0,Low Value Customers
12646,4,2,1346,0,Low Value Customers
12647,21,13,3775,0,Low Value Customers
12648,154,1,318,1,Lost Customers
12649,106,4,643,0,Low Value Customers
12650,2,1,314,0,Low Value Customers
12651,334,1,114,1,Lost Customers
12652,321,2,925,1,Lost Customers
12653,148,2,2209,1,Lost Customers
12654,10,5,601,0,Low Value Customers
12656,16,8,4119,0,Low Value Customers
12657,10,5,2134,0,Low Value Customers
12658,18,1,686,0,Low Value Customers
12659,29,1,91,0,Low Value Customers
12660,10,1,245,0,Low Value Customers
12662,0,12,3882,0,Low Value Customers
12664,7,10,4899,0,Low Value Customers
12665,324,2,64,1,Lost Customers
12666,358,1,227,1,Lost Customers
12667,57,1,620,0,Low Value Customers
12668,6,6,3871,0,Low Value Customers
12669,150,4,3880,1,Lost Customers
12670,9,6,3005,0,Low Value Customers
12672,329,1,225,1,Lost Customers
12673,4,2,610,0,Low Value Customers
12674,11,7,2018,0,Low Value Customers
12676,24,6,1331,0,Low Value Customers
12678,41,13,17668,0,Low Value Customers
12679,51,9,1167,0,Low Value Customers
12680,0,4,862,0,Low Value Customers
12681,14,27,13897,0,Low Value Customers
12682,3,31,12279,0,Low Value Customers
12683,3,20,8732,0,Low Value Customers
12684,7,7,2283,0,Low Value Customers
12685,27,6,2863,0,Low Value Customers
12686,371,1,89,1,Lost Customers
12688,113,1,4873,0,Low Value Customers
12689,25,2,1247,0,Low Value Customers
12690,205,1,389,1,Lost Customers
12691,27,6,1035,0,Low Value Customers
12693,120,6,880,0,Low Value Customers
12694,69,2,869,0,Low Value Customers
12695,6,4,582,0,Low Value Customers
12697,20,5,976,0,Low Value Customers
12700,7,6,5011,0,Low Value Customers
12701,79,2,797,0,Low Value Customers
12702,19,1,219,0,Low Value Customers
12703,63,2,292,0,Low Value Customers
12704,6,10,2460,0,Low Value Customers
12705,14,14,6922,0,Low Value Customers
12707,291,1,603,1,Lost Customers
12708,29,16,2809,0,Low Value Customers
12709,2,26,10148,0,Low Value Customers
12710,96,4,1167,0,Low Value Customers
12712,22,17,4550,0,Low Value Customers
12713,0,1,848,0,Low Value Customers
12714,8,5,4708,0,Low Value Customers
12715,105,1,343,0,Low Value Customers
12716,3,2,1053,0,Low Value Customers
12717,150,3,1080,1,Lost Customers
12718,70,1,238,0,Low Value Customers
12719,4,3,681,0,Low Value Customers
12720,2,29,5850,0,Low Value Customers
12721,31,7,2683,0,Low Value Customers
12722,84,6,1090,0,Low Value Customers
12723,3,5,725,0,Low Value Customers
12724,4,4,1031,0,Low Value Customers
12725,370,1,427,1,Lost Customers
12726,27,7,2609,0,Low Value Customers
12727,10,9,4013,0,Low Value Customers
12728,70,4,836,0,Low Value Customers
12729,113,1,453,0,Low Value Customers
12731,23,14,18998,0,Low Value Customers
12732,179,1,236,1,Lost Customers
12733,233,1,383,1,Lost Customers
12734,352,1,110,1,Lost Customers
12735,314,2,779,1,Lost Customers
12736,332,1,234,1,Lost Customers
12738,371,1,155,1,Lost Customers
12739,77,2,1013,0,Low Value Customers
12740,63,1,427,0,Low Value Customers
12743,133,2,540,0,Low Value Customers
12744,51,10,33438,0,Low Value Customers
12747,1,11,4196,0,Low Value Customers
12748,0,224,37700,2,Big Spenders
12749,3,8,4313,0,Low Value Customers
12750,128,1,275,0,Low Value Customers
12752,80,1,4366,0,Low Value Customers
12753,3,11,21834,0,Low Value Customers
12754,235,5,3072,1,Lost Customers
12755,249,4,5420,1,Lost Customers
12756,86,1,112,0,Low Value Customers
12757,15,19,11464,0,Low Value Customers
12758,116,2,2791,0,Low Value Customers
12759,51,3,1531,0,Low Value Customers
12762,7,2,1898,0,Low Value Customers
12763,137,2,494,0,Low Value Customers
12764,316,1,1693,1,Lost Customers
12766,3,7,6989,0,Low Value Customers
12769,238,1,1143,1,Lost Customers
12770,210,1,1351,1,Lost Customers
12772,59,1,892,0,Low Value Customers
12775,16,6,1420,0,Low Value Customers
12778,19,7,840,0,Low Value Customers
12779,20,12,4094,0,Low Value Customers
12781,20,5,945,0,Low Value Customers
12782,4,6,2388,0,Low Value Customers
12783,1,8,2847,0,Low Value Customers
12784,8,2,532,0,Low Value Customers
12785,2,2,318,0,Low Value Customers
12787,9,3,463,0,Low Value Customers
12789,64,1,91,0,Low Value Customers
12790,191,1,324,1,Lost Customers
12791,373,1,192,1,Lost Customers
12792,256,1,400,1,Lost Customers
12793,334,2,545,1,Lost Customers
12794,52,2,860,0,Low Value Customers
12795,18,1,430,0,Low Value Customers
12797,359,3,313,1,Lost Customers
12798,9,3,6977,0,Low Value Customers
12802,183,2,442,1,Lost Customers
12808,36,3,483,0,Low Value Customers
12809,167,2,494,1,Lost Customers
12811,260,3,514,1,Lost Customers
12812,44,1,229,0,Low Value Customers
12814,101,1,125,0,Low Value Customers
12815,147,2,1063,1,Lost Customers
12816,95,2,572,0,Low Value Customers
12817,280,1,166,1,Lost Customers
12818,177,2,1566,1,Lost Customers
12820,2,4,942,0,Low Value Customers
12821,213,1,92,1,Lost Customers
12822,70,3,978,0,Low Value Customers
12823,74,5,1759,0,Low Value Customers
12824,59,1,397,0,Low Value Customers
12826,2,8,1481,0,Low Value Customers
12827,5,3,430,0,Low Value Customers
12828,2,6,1018,0,Low Value Customers
12829,321,3,332,1,Lost Customers
12830,37,7,6880,0,Low Value Customers
12831,261,1,215,1,Lost Customers
12832,31,2,383,0,Low Value Customers
12833,144,1,417,1,Lost Customers
12834,282,1,312,1,Lost Customers
12836,58,4,2610,0,Low Value Customers
12837,172,1,134,1,Lost Customers
12838,33,2,671,0,Low Value Customers
12839,2,16,5599,0,Low Value Customers
12840,143,6,2739,0,Low Value Customers
12841,4,26,4137,0,Low Value Customers
12842,69,2,1118,0,Low Value Customers
12843,65,9,1723,0,Low Value Customers
12844,28,2,325,0,Low Value Customers
12845,266,4,354,1,Lost Customers
12847,21,1,843,0,Low Value Customers
12849,30,2,1010,0,Low Value Customers
12851,96,1,131,0,Low Value Customers
12852,289,2,323,1,Lost Customers
12853,107,9,2032,0,Low Value Customers
12854,78,5,1351,0,Low Value Customers
12855,372,1,38,1,Lost Customers
12856,7,8,2188,0,Low Value Customers
12857,210,2,1106,1,Lost Customers
12863,51,2,538,0,Low Value Customers
12864,137,1,147,1,Lost Customers
12865,25,3,1588,0,Low Value Customers
12866,282,1,559,1,Lost Customers
12867,25,10,4059,0,Low Value Customers
12868,185,6,1607,1,Lost Customers
12870,365,1,14,1,Lost Customers
12871,83,2,380,0,Low Value Customers
12872,326,2,599,1,Lost Customers
12873,281,1,374,1,Lost Customers
12875,142,2,343,1,Lost Customers
12876,57,2,2218,0,Low Value Customers
12877,3,12,1535,0,Low Value Customers
12878,17,3,868,0,Low Value Customers
12879,44,4,593,0,Low Value Customers
12881,275,1,298,1,Lost Customers
12882,8,2,1463,0,Low Value Customers
12883,24,4,703,0,Low Value Customers
12884,87,1,309,0,Low Value Customers
12885,62,4,1192,0,Low Value Customers
12886,67,3,1405,0,Low Value Customers
12888,213,4,394,1,Lost Customers
12890,23,1,376,0,Low Value Customers
12891,185,3,331,1,Lost Customers
12893,30,1,176,0,Low Value Customers
12895,41,3,398,0,Low Value Customers
12897,204,2,216,1,Lost Customers
12901,8,36,19015,0,Low Value Customers
12902,264,1,138,1,Lost Customers
12904,17,2,496,0,Low Value Customers
12906,11,5,2919,0,Low Value Customers
12908,58,4,1254,0,Low Value Customers
12909,39,8,2228,0,Low Value Customers
12910,22,8,3075,0,Low Value Customers
12912,2,5,1662,0,Low Value Customers
12913,4,5,2483,0,Low Value Customers
12915,148,2,363,1,Lost Customers
12916,138,5,2968,0,Low Value Customers
12917,127,1,594,0,Low Value Customers
12919,7,8,1368,0,Low Value Customers
12920,16,1,162,0,Low Value Customers
12921,3,50,16784,0,Low Value Customers
12922,160,1,405,1,Lost Customers
12923,63,1,172,0,Low Value Customers
12924,87,5,937,0,Low Value Customers
12925,4,2,694,0,Low Value Customers
12928,34,5,2062,0,Low Value Customers
12929,121,2,130,0,Low Value Customers
12930,77,4,421,0,Low Value Customers
12931,21,20,50649,0,Low Value Customers
12933,23,4,608,0,Low Value Customers
12935,1,8,2164,0,Low Value Customers
12936,16,5,1114,0,Low Value Customers
12937,14,4,1504,0,Low Value Customers
12938,25,1,114,0,Low Value Customers
12939,63,8,11581,0,Low Value Customers
12940,45,4,936,0,Low Value Customers
12942,130,3,675,0,Low Value Customers
12943,300,1,3,1,Lost Customers
12944,35,2,604,0,Low Value Customers
12945,287,1,462,1,Lost Customers
12947,143,11,1800,0,Low Value Customers
12948,15,8,2076,0,Low Value Customers
12949,30,10,4191,0,Low Value Customers
12950,1,3,1843,0,Low Value Customers
12951,8,8,1086,0,Low Value Customers
12952,5,5,1392,0,Low Value Customers
12953,9,1,329,0,Low Value Customers
12955,0,14,4780,0,Low Value Customers
12956,305,1,108,1,Lost Customers
12957,3,12,4056,0,Low Value Customers
12962,6,2,266,0,Low Value Customers
12963,7,9,1872,0,Low Value Customers
12965,88,1,769,0,Low Value Customers
12966,9,1,160,0,Low Value Customers
12967,2,4,2127,0,Low Value Customers
12968,111,1,135,0,Low Value Customers
12970,6,4,405,0,Low Value Customers
12971,3,89,11449,2,Big Spenders
12974,197,1,144,1,Lost Customers
12976,211,1,738,1,Lost Customers
12977,155,1,39,1,Lost Customers
12980,155,12,7657,0,Low Value Customers
12981,29,2,372,0,Low Value Customers
12982,239,2,403,1,Lost Customers
12984,18,1,97,0,Low Value Customers
12985,0,3,1263,0,Low Value Customers
12987,73,3,572,0,Low Value Customers
12988,291,1,505,1,Lost Customers
12989,2,19,6993,0,Low Value Customers
12990,30,3,409,0,Low Value Customers
12991,22,2,503,0,Low Value Customers
12993,22,4,414,0,Low Value Customers
12994,3,5,1046,0,Low Value Customers
12995,77,2,221,0,Low Value Customers
12997,21,7,1255,0,Low Value Customers
12999,195,3,455,1,Lost Customers
13000,106,3,534,0,Low Value Customers
13001,3,15,9806,0,Low Value Customers
13002,317,1,120,1,Lost Customers
13003,105,3,149,0,Low Value Customers
13004,11,22,5698,0,Low Value Customers
13005,173,3,558,1,Lost Customers
13006,55,1,81,0,Low Value Customers
13008,322,2,280,1,Lost Customers
13011,371,1,50,1,Lost Customers
13012,8,11,1997,0,Low Value Customers
13013,0,15,4834,0,Low Value Customers
13014,2,16,3567,0,Low Value Customers
13015,52,5,3339,0,Low Value Customers
13016,72,3,789,0,Low Value Customers
13017,6,1,204,0,Low Value Customers
13018,15,29,7282,0,Low Value Customers
13021,3,12,2648,0,Low Value Customers
13023,63,2,689,0,Low Value Customers
13026,0,8,1014,0,Low Value Customers
13027,113,6,6912,0,Low Value Customers
13028,22,3,662,0,Low Value Customers
13029,30,3,1247,0,Low Value Customers
13030,10,2,752,0,Low Value Customers
13032,38,3,1023,0,Low Value Customers
13033,356,1,190,1,Lost Customers
13034,54,2,642,0,Low Value Customers
13035,57,3,957,0,Low Value Customers
13037,137,3,881,0,Low Value Customers
13038,79,3,908,0,Low Value Customers
13040,8,2,676,0,Low Value Customers
13043,253,2,561,1,Lost Customers
13044,290,1,560,1,Lost Customers
13045,98,1,305,0,Low Value Customers
13046,30,2,629,0,Low Value Customers
13047,31,18,3395,0,Low Value Customers
13048,13,5,1849,0,Low Value Customers
13049,63,2,656,0,Low Value Customers
13050,8,28,5989,0,Low Value Customers
13052,211,1,348,1,Lost Customers
13055,63,4,1226,0,Low Value Customers
13058,24,3,271,0,Low Value Customers
13059,249,1,183,1,Lost Customers
13060,253,1,307,1,Lost Customers
13061,71,1,248,0,Low Value Customers
13062,190,1,346,1,Lost Customers
13064,12,4,1105,0,Low Value Customers
13065,372,1,205,1,Lost Customers
13066,23,3,510,0,Low Value Customers
13067,81,1,115,0,Low Value Customers
13068,9,2,344,0,Low Value Customers
13069,0,27,5149,0,Low Value Customers
13070,191,1,228,1,Lost Customers
13072,266,1,177,1,Lost Customers
13075,129,1,919,0,Low Value Customers
13077,0,4,728,0,Low Value Customers
13078,0,43,12823,0,Low Value Customers
13079,3,5,220,0,Low Value Customers
13080,178,1,58,1,Lost Customers
13081,0,21,28710,0,Low Value Customers
13082,125,10,3631,0,Low Value Customers
13083,3,2,303,0,Low Value Customers
13085,157,3,559,1,Lost Customers
13089,2,118,60202,2,Big Spenders
13090,8,18,9132,0,Low Value Customers
13091,20,2,371,0,Low Value Customers
13092,70,6,495,0,Low Value Customers
13093,266,13,7923,1,Lost Customers
13094,20,16,2145,0,Low Value Customers
13095,70,1,74,0,Low Value Customers
13097,32,14,6120,0,Low Value Customers
13098,0,41,29106,0,Low Value Customers
13099,98,1,207,0,Low Value Customers
13101,233,1,101,1,Lost Customers
13102,0,27,6511,0,Low Value Customers
13103,39,1,243,0,Low Value Customers
13104,2,6,1098,0,Low Value Customers
13106,128,2,93,0,Low Value Customers
13107,43,5,1539,0,Low Value Customers
13108,372,1,350,1,Lost Customers
13109,2,5,806,0,Low Value Customers
13110,30,8,1524,0,Low Value Customers
13113,0,40,13981,0,Low Value Customers
13115,8,14,2383,0,Low Value Customers
13116,116,2,517,0,Low Value Customers
13117,21,8,984,0,Low Value Customers
13118,19,7,1270,0,Low Value Customers
13120,238,1,30,1,Lost Customers
13121,268,2,312,1,Lost Customers
13122,93,2,922,0,Low Value Customers
13124,89,3,3756,0,Low Value Customers
13126,4,10,2142,0,Low Value Customers
13127,77,1,259,0,Low Value Customers
13130,93,1,64,0,Low Value Customers
13131,22,4,1107,0,Low Value Customers
13132,261,1,77,1,Lost Customers
13133,273,2,109,1,Lost Customers
13134,72,7,1846,0,Low Value Customers
13135,196,1,3096,1,Lost Customers
13136,49,11,2669,0,Low Value Customers
13137,10,9,3648,0,Low Value Customers
13138,21,6,962,0,Low Value Customers
13139,15,8,5074,0,Low Value Customers
13140,107,3,422,0,Low Value Customers
13141,84,6,2391,0,Low Value Customers
13142,18,1,307,0,Low Value Customers
13144,332,1,110,1,Lost Customers
13145,39,5,622,0,Low Value Customers
13146,25,1,228,0,Low Value Customers
13147,9,4,712,0,Low Value Customers
13148,28,17,4041,0,Low Value Customers
13149,13,4,1676,0,Low Value Customers
13151,202,2,1265,1,Lost Customers
13153,5,1,486,0,Low Value Customers
13154,143,1,611,1,Lost Customers
13155,32,4,971,0,Low Value Customers
13157,48,5,1760,0,Low Value Customers
13158,94,4,1201,0,Low Value Customers
13159,8,5,1487,0,Low Value Customers
13160,21,1,91,0,Low Value Customers
13161,312,1,112,1,Lost Customers
13162,121,5,1731,0,Low Value Customers
13165,45,2,1021,0,Low Value Customers
13166,281,2,419,1,Lost Customers
13167,18,4,791,0,Low Value Customers
13168,35,5,1308,0,Low Value Customers
13169,63,2,712,0,Low Value Customers
13170,26,1,108,0,Low Value Customers
13171,7,5,510,0,Low Value Customers
13173,3,2,353,0,Low Value Customers
13174,15,3,2742,0,Low Value Customers
13176,45,1,481,0,Low Value Customers
13177,64,1,282,0,Low Value Customers
13178,25,11,5725,0,Low Value Customers
13182,44,1,121,0,Low Value Customers
13183,7,9,3957,0,Low Value Customers
13184,14,12,1721,0,Low Value Customers
13185,267,1,71,1,Lost Customers
13186,39,5,1612,0,Low Value Customers
13187,336,1,236,1,Lost Customers
13188,10,1,114,0,Low Value Customers
13189,18,2,260,0,Low Value Customers
13192,94,2,911,0,Low Value Customers
13193,60,1,112,0,Low Value Customers
13194,135,1,60,0,Low Value Customers
13196,10,4,1797,0,Low Value Customers
13198,9,8,3418,0,Low Value Customers
13199,3,39,9830,0,Low Value Customers
13200,18,4,870,0,Low Value Customers
13203,9,4,869,0,Low Value Customers
13207,14,2,250,0,Low Value Customers
13208,58,7,1235,0,Low Value Customers
13209,29,11,5963,0,Low Value Customers
13210,93,1,353,0,Low Value Customers
13211,9,3,1095,0,Low Value Customers
13212,8,4,794,0,Low Value Customers
13213,56,6,1522,0,Low Value Customers
13216,267,1,333,1,Lost Customers
13217,121,5,934,0,Low Value Customers
13218,126,1,62,0,Low Value Customers
13220,77,4,819,0,Low Value Customers
13221,239,2,847,1,Lost Customers
13223,199,2,163,1,Lost Customers
13224,59,3,2161,0,Low Value Customers
13225,2,8,6844,0,Low Value Customers
13226,272,1,108,1,Lost Customers
13227,201,1,257,1,Lost Customers
13228,80,1,358,0,Low Value Customers
13229,225,1,160,1,Lost Customers
13230,3,15,2799,0,Low Value Customers
13232,12,7,1328,0,Low Value Customers
13233,73,2,605,0,Low Value Customers
13235,211,2,1960,1,Lost Customers
13236,24,3,762,0,Low Value Customers
13238,10,5,720,0,Low Value Customers
13239,261,1,329,1,Lost Customers
13240,95,4,663,0,Low Value Customers
13242,111,3,270,0,Low Value Customers
13243,202,1,585,1,Lost Customers
13244,92,1,121,0,Low Value Customers
13245,50,1,430,0,Low Value Customers
13246,17,7,2026,0,Low Value Customers
13247,17,4,501,0,Low Value Customers
13248,124,2,465,0,Low Value Customers
13249,91,3,711,0,Low Value Customers
13253,156,2,1030,1,Lost Customers
13255,3,3,408,0,Low Value Customers
13256,13,1,0,0,Low Value Customers
13258,11,3,672,0,Low Value Customers
13259,61,1,283,0,Low Value Customers
13260,60,1,557,0,Low Value Customers
13261,268,2,944,1,Lost Customers
13262,262,1,200,1,Lost Customers
13263,0,35,7436,0,Low Value Customers
13265,52,5,2092,0,Low Value Customers
13266,10,19,3950,0,Low Value Customers
13267,2,27,4638,0,Low Value Customers
13268,17,15,3221,0,Low Value Customers
13269,0,17,5373,0,Low Value Customers
13270,365,1,590,1,Lost Customers
13271,36,2,250,0,Low Value Customers
13272,30,2,276,0,Low Value Customers
13273,112,1,138,0,Low Value Customers
13276,63,2,590,0,Low Value Customers
13277,15,4,258,0,Low Value Customers
13278,40,1,542,0,Low Value Customers
13279,63,2,149,0,Low Value Customers
13280,121,3,798,0,Low Value Customers
13282,17,6,1216,0,Low Value Customers
13283,59,2,93,0,Low Value Customers
13284,322,2,206,1,Lost Customers
13285,22,4,2709,0,Low Value Customers
13291,155,1,361,1,Lost Customers
13292,38,2,578,0,Low Value Customers
13294,189,2,873,1,Lost Customers
13295,359,2,204,1,Lost Customers
13296,136,1,87,1,Lost Customers
13297,7,4,2089,0,Low Value Customers
13298,0,1,360,0,Low Value Customers
13299,267,1,142,1,Lost Customers
13300,164,2,378,1,Lost Customers
